Municipality,Count,Percentage
Croix-Des-Bouquets,89,31.010452961672474
Port-au-Prince,74,25.78397212543554
Pétion-Ville,38,13.240418118466899
Cité Soleil,35,12.195121951219512
Carrefour,26,9.059233449477352
Delmas,13,4.529616724738676
Tabarre,8,2.7874564459930316
Mirebalais,1,0.34843205574912894
Bombardopolis,1,0.34843205574912894
Gressier,1,0.34843205574912894
