Municipality of origin for majority of IDPs,Municipal section of origin for IDPs,District of origin for IDPs,IDPs counted
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Corail,317
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,310
Pétion-Ville,4ème Bellevue la Montagne,Calbacher - Claire-Heureuse et Bois Source - Gros Jean,309
Carrefour,10ème Thor,Bizoton - Bergamot,300
Carrefour,10ème Thor,Larame,300
Port-au-Prince,8ème Martissant,Bas Martissant,300
Port-au-Prince,8ème Martissant,Cite Louverture,300
Carrefour,9ème Bizoton,Nan Citron - Village Michel,300
Bombardopolis,2ème des Forges,CANAAN,296
Cité Soleil,1ère Varreux,Village des Rapatries - Menetas,295
Cité Soleil,1ère Varreux,Zone Industrielle,292
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,290
Carrefour,9ème Bizoton,Grand Caye - Marre Bizoton,282
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,280
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,273
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,271
Gressier,1ère Morne à Bateau,,270
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,265
Tabarre,3ème Bellevue,Butte Boyer,260
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,255
Cité Soleil,1ère Varreux,Vaudreuil - Truttier,250
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,250
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,250
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,250
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,250
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,250
Croix-Des-Bouquets,1ère Petit Bois,Duval,250
Delmas,5ème Saint Martin,Delmas 33,250
Port-au-Prince,8ème Martissant,Bas Martissant,250
Port-au-Prince,8ème Martissant,Morne Madan Garnot,250
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,244
Carrefour,10ème Thor,Haut Chaud-Eau,240
Pétion-Ville,4ème Bellevue la Montagne,Greffin,235
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,225
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Corail,219
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,217
Pétion-Ville,4ème Bellevue la Montagne,Pernier 24,217
Cité Soleil,1ère Varreux,Terre-Noire - Blanchard,215
Port-au-Prince,8ème Martissant,Cite de l'Eternel,215
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,214
Carrefour,10ème Thor,Bas Thorland,210
Carrefour,11ème Rivière Froide,Gaston - Magron,210
Carrefour,11ème Rivière Froide,Paloma(Canne a  Sucre),210
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,210
Port-au-Prince,8ème Martissant,Bas Martissant,210
Port-au-Prince,8ème Martissant,STEP - Eglise Baptiste de Bolosse,210
Port-au-Prince,8ème Martissant,Cite Louverture,210
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Corail,209
Port-au-Prince,6ème Turgeau,Carrefour - Feuilles,204
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,200
Croix-Des-Bouquets,3ème Petit Bois,Garnier - Diguer - Dorlène,200
Port-au-Prince,8ème Martissant,Bas Martissant,200
Port-au-Prince,8ème Martissant,Fontamara Est,200
Port-au-Prince,8ème Martissant,Bas Martissant,200
Cité Soleil,1ère Varreux,Brouklin,188
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,180
Pétion-Ville,4ème Bellevue la Montagne,Torcelle,180
Port-au-Prince,8ème Martissant,Cite de l'Eternel,175
Pétion-Ville,4ème Bellevue la Montagne,Frères,170
Pétion-Ville,4ème Bellevue la Montagne,Pernier,165
Cité Soleil,1ère Varreux,Projet Drouillard,160
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,160
Delmas,5ème Saint Martin,2ème Cite Saint Martin,155
Port-au-Prince,8ème Martissant,Morne Ti-source,155
Carrefour,10ème Thor,Bois Dioute - Ti Kajou,150
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,150
Tabarre,3ème Bellevue,Clercine,150
Port-au-Prince,8ème Martissant,Bas Martissant,150
Port-au-Prince,8ème Martissant,Bas Martissant,150
Port-au-Prince,8ème Martissant,Bas Martissant,150
Croix-Des-Bouquets,2ème Varreux (Marin),Bonrepos - Lizon,143
Cité Soleil,1ère Varreux,Bois Neuf,140
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,140
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,140
Port-au-Prince,8ème Martissant,Martissant - Breard - Sainte-Bernadette,140
,,,140
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,139
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,136
Pétion-Ville,3ème Etang du Jong,Laboule,136
Cité Soleil,1ère Varreux,Wharf Jeremie,135
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,135
Cité Soleil,1ère Varreux,Brouklin,131
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,130
Cité Soleil,1ère Varreux,Cite Linto 2,128
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,127
Carrefour,10ème Thor,Do Karyann,120
Carrefour,11ème Rivière Froide,St-Charles - Lamentin,120
Port-au-Prince,7ème Morne l'Hopital,Savanne Pistaches,120
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,120
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,120
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,120
Croix-Des-Bouquets,2ème Varreux (Marin),Marin,120
Croix-Des-Bouquets,3ème Petit Bois,Cotta - Ferme Blanchard,120
Port-au-Prince,8ème Martissant,Bas Martissant,120
Delmas,5ème Saint Martin,Delmas 30,115
Carrefour,11ème Rivière Froide,Truitier - Canne-a-Sucre,110
Pétion-Ville,4ème Bellevue la Montagne,Torcelle,108
Pétion-Ville,4ème Bellevue la Montagne,Girardeau,107
Delmas,5ème Saint Martin,Delmas 2,104
Cité Soleil,1ère Varreux,Wharf Jeremie,100
Cité Soleil,1ère Varreux,Bois Neuf,100
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,100
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,100
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,100
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Canaan - Jerusalem,100
Croix-Des-Bouquets,2ème Varreux (Canaan - Jerusalem),Depio - Segur -Lillavois,100
Croix-Des-Bouquets,3ème Petit Bois,Bellanton,100
Pétion-Ville,4ème Bellevue la Montagne,Malick,100
Pétion-Ville,4ème Bellevue la Montagne,Pernier 24,100
Pétion-Ville,4ème Bellevue la Montagne,Chavannes Prolongee,100
Pétion-Ville,4ème Bellevue la Montagne,Metivier,100
Pétion-Ville,4ème Bellevue la Montagne,Frères,100
